species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Fe 1,3012.4416,2.4327,1.0,-1.135,7.75,-4.76,-7.51,1.1,0.967
Er 2,3012.478,0.6364,1.0,-0.247,0.0,0.0,0.0,1.81,0.142
Ta 2,3012.552,0.6609,1.0,1.05,0.0,0.0,0.0,0.73,0.336
Fe 2,3012.5928,3.8143,1.0,-4.018,8.6,-6.51,-7.888,1.59,0.08
Fe 1,3012.7118,3.2657,1.0,-2.312,8.22,-4.56,-7.32,0.75,0.685
OH 1,3012.732,1.8338,1.0,-1.724,0.0,0.0,0.0,99.0,0.125
Mn 1,3012.8548,2.1867,1.0,-2.249,6.48,-6.17,-7.78,1.35,0.272
Cr 1,3012.8703,2.9826,1.0,-1.533,8.3,-5.13,-7.56,0.44,0.117
Hf 2,3012.897,0.0,1.0,-0.6,0.0,0.0,0.0,1.22,0.538
Fe 1,3012.9307,3.2657,1.0,-2.63,7.83,-4.05,-7.14,1.63,0.481
Fe 1,3012.9401,2.998,1.0,-1.682,7.64,-4.89,-7.29,1.62,0.911
Ti 1,3012.9897,1.8871,1.0,-1.183,7.3,-3.9,-7.33,1.01,0.111
Cr 1,3013.029,0.961,1.0,-1.07,8.28,-5.41,-7.53,2.46,0.949
Ni 1,3013.088,1.9859,1.0,-2.421,7.95,-4.26,-7.49,1.28,0.793
V 2,3013.1043,1.6752,1.0,-0.37,8.26,-6.46,-7.87,1.92,0.905
Fe 1,3013.2646,3.3014,1.0,-3.1,7.1,-4.56,-7.07,1.1,0.201
Zr 2,3013.323,0.5586,1.0,-1.28,0.0,0.0,0.0,0.62,0.454
OH 1,3013.4141,1.141,1.0,-2.184,0.0,0.0,0.0,99.0,0.191
Cr 1,3013.4615,3.8923,1.0,-0.246,8.5,-2.78,-6.69,1.42,0.273
Fe 1,3013.4914,3.2657,1.0,-1.465,7.73,-3.78,-7.12,1.65,0.904
Fe 1,3013.5141,2.1979,1.0,-4.788,7.25,-4.72,-7.48,2.07,0.055
Co 1,3013.5932,0.0,1.0,-1.81,8.14,-6.11,-7.675,1.85,0.962
Cr 1,3013.5962,3.8904,1.0,-0.332,8.47,-2.78,-6.71,1.39,0.233
Cr 1,3013.712,0.9684,1.0,-0.25,8.26,-5.38,-7.572,1.89,0.975
Fe 2,3013.7998,4.1536,1.0,-3.089,8.52,-6.53,-7.891,0.79,0.268
OH 1,3013.8447,1.5968,1.0,-1.627,0.0,0.0,0.0,99.0,0.244
Fe 1,3013.8964,3.2367,1.0,-3.732,7.17,-5.04,-7.15,1.22,0.061
OH 1,3013.9523,1.3626,1.0,-1.777,0.0,0.0,0.0,99.0,0.277
Fe 1,3014.1049,2.9488,1.0,-3.321,8.25,-6.21,-7.73,1.49,0.252
Fe 1,3014.145,3.3014,1.0,-2.409,7.86,-4.18,-7.25,0.3,0.604
Fe 1,3014.1462,3.2367,1.0,-2.931,7.58,-3.65,-7.28,1.13,0.308
Nd 2,3014.166,0.2046,1.0,-0.66,0.0,0.0,0.0,0.62,0.169
Fe 1,3014.1732,0.9582,1.0,-2.757,7.48,-6.22,-7.83,0.51,0.972
Fe 1,3014.2594,3.2367,1.0,-2.858,7.26,-3.84,-7.32,1.26,0.35
Fe 1,3014.3143,2.4534,1.0,-2.049,7.67,-4.71,-7.5,1.01,0.927
V 1,3014.3496,2.1247,1.0,-0.179,7.59,-3.14,-7.25,0.97,0.068
Ca 1,3014.5087,1.8793,1.0,-3.312,6.21,-2.63,-6.54,2.0,0.089
OH 1,3014.6038,1.8356,1.0,-1.739,0.0,0.0,0.0,99.0,0.119
Fe 1,3014.6464,3.241,1.0,-2.108,8.2,-4.02,-7.34,0.61,0.793
Mn 1,3014.6604,3.1325,1.0,-0.622,8.03,-6.17,-7.82,1.2,0.708
Cr 1,3014.765,0.9684,1.0,-0.05,8.61,-5.92,-7.68,1.17,0.979
V 2,3014.8205,1.6855,1.0,-0.01,8.57,-6.46,-7.86,1.53,0.931
Fe 1,3014.8963,3.2367,1.0,-3.502,7.26,-3.99,-7.3,1.06,0.098
Cr 1,3014.914,0.9829,1.0,0.25,8.6,-5.93,-7.68,0.99,0.983
Fe 1,3014.9837,3.2367,1.0,-3.271,7.21,-3.89,-7.33,1.18,0.159
Dy 2,3015.067,1.8468,1.0,0.608,0.0,0.0,0.0,1.41,0.085
Mn 1,3015.1821,4.1938,1.0,-0.502,8.57,-4.61,-7.46,0.99,0.189
Cr 1,3015.196,0.961,1.0,-0.2,8.61,-5.92,-7.574,0.0,0.976
Tm 2,3015.294,0.0294,1.0,-0.47,0.0,0.0,0.0,1.02,0.097
Fe 1,3015.3305,3.241,1.0,-2.107,8.32,-3.62,-7.37,1.22,0.793
Sc 1,3015.368,0.0,1.0,-0.195,8.23,-5.75,-7.542,0.89,0.688
Fe 1,3015.4392,3.6398,1.0,-2.563,8.28,-3.79,-7.03,1.04,0.297
Cr 2,3015.4952,4.4148,1.0,0.023,8.41,-6.49,-7.854,1.15,0.886
Fe 1,3015.5006,3.2515,1.0,-3.589,7.82,-3.96,-7.22,1.11,0.079
S 1,3015.6347,2.75,1.0,-5.028,8.93,-5.65,-7.432,2.0,0.185
Dy 2,3015.682,1.4128,1.0,0.375,0.0,0.0,0.0,0.89,0.131
Co 1,3015.6841,1.8826,1.0,-1.201,8.09,-5.83,-7.79,1.57,0.703
Cr 2,3015.7545,4.4151,1.0,-2.553,8.41,-6.65,-7.77,0.5,0.054
Zr 2,3015.848,1.8267,1.0,-0.8,0.0,0.0,0.0,1.03,0.115
Fe 1,3015.9186,2.4327,1.0,-1.14,8.08,-6.05,-7.634,1.49,0.967
OH 1,3015.9427,1.5992,1.0,-1.646,0.0,0.0,0.0,99.0,0.233
V 2,3015.9965,2.036,1.0,-0.747,8.3,-6.54,-7.86,1.12,0.73
Fe 1,3016.1148,3.2671,1.0,-2.754,7.42,-3.41,-7.08,0.13,0.396
V 2,3016.1417,1.6855,1.0,-0.8,8.26,-6.46,-7.87,1.63,0.834
Fe 1,3016.1845,0.9901,1.0,-1.441,8.78,-5.78,-7.49,1.5,0.991
V 1,3016.2013,1.2181,1.0,-0.321,8.4,-5.87,-7.69,1.26,0.303
Fe 1,3016.2914,2.5592,1.0,-3.33,7.98,-4.76,-7.59,1.46,0.469
Fe 1,3016.3406,2.5881,1.0,-2.361,7.78,-4.72,-7.49,1.38,0.888
Mn 1,3016.4511,3.135,1.0,-0.33,8.03,-6.17,-7.591,1.04,0.824
W 1,3016.47,0.7711,1.0,-0.49,0.0,0.0,0.0,0.41,0.052
OH 1,3016.7293,1.366,1.0,-1.806,0.0,0.0,0.0,99.0,0.26
V 2,3016.7801,1.7037,1.0,-0.05,8.56,-6.46,-7.86,1.56,0.927
Er 2,3016.839,1.8163,1.0,0.915,0.0,0.0,0.0,1.21,0.149
OH 1,3017.0827,1.1458,1.0,-2.24,0.0,0.0,0.0,99.0,0.158
V 2,3017.128,2.5562,1.0,-1.676,8.5,-6.49,-7.85,1.63,0.074
Ti 2,3017.1834,1.5839,1.0,-0.3,8.32,-6.44,-7.85,1.09,0.965
Ce 2,3017.1951,0.7037,1.0,-0.41,0.0,0.0,0.0,1.33,0.083
OH 1,3017.2033,1.25,1.0,-1.995,0.0,0.0,0.0,99.0,0.222
